335F;G/R;334F;334U;334S;334H;334L;;
20;10;14;15;25;1;3;DMU-;Upstream
21;11;15;16;26;2;4;DPU+;Upstream
6;7;11;10;27;3;5;DM1-;Downstream
7;8;12;11;28;4;6;DP1+;Downstream
8;5;9;8;2;6;9;DM2-;Downstream
9;6;10;9;3;7;10;DP2+;Downstream
13;3;7;6;8;12;17;DM3-;Downstream
14;4;8;7;9;13;18;DP3+;Downstream
15;1;5;4;11;15;21;DM4-;Downstream
16;2;6;5;12;16;22;DP4+;Downstream
11;16;4;3;6;10;14;XI;Clock
12;15;3;2;7;11;15;XO;Clock
17;9;16;17;13;17;26;RESET#.CDP;Reset
26;12;19;20;23;27;47;5V;Power
28;13;20;21;24;28;48;VDD33;Power
-;-;-;13;-;14.21;19;VDD33;Power
27;14;-;1.12.28;15;-;2.8.13.20;GND;Power
0;-;0;-;-;0;-;GND;Power
24;-;1;26;21;25;42;OVCUR#.OVCUR1#;Input
23;-;-;-;-;24;40;OVCUR2#;Input
19;-;-;-;-;20;30;OVCUR3#;Input
18;-;-;-;-;19;28;OVCUR4#;Input
4;-;24;25;4;8;11;PWREN#.PWREN1#;Output
2;-;-;-;-;-;-;PWREN2#;Output
10;-;-;-;-;-;-;PWREN3#;Output
5;-;-;-;-;-;-;SUSP.PWREN4#;Output
-;-;18;19;17;22;37;PSELF;Input
-;-;-;-;18;23;39;PGANG;InOut
1;-;22;23;-;-;-;LED1.PSELF;InOut
3;-;23;24;-;-;-;LED2.PGANG;InOut
22;-;13;14;14;18;27;LED3.SCL;InOut
25;-;21;22;22;26;43;LED4.SDA;InOut
-;-;2.17;18.27;1.5.10.16.19.20;5.9;-;NC.;NC
